BOTS;Operaciones;fecha;Mes;dia_semana;hora
3;12;16/11/2017;11;4;15
3;5;16/11/2017;11;4;16
5;15;16/11/2017;11;4;17
6;22;16/11/2017;11;4;18
8;28;16/11/2017;11;4;19
8;34;16/11/2017;11;4;20
8;47;16/11/2017;11;4;21
8;24;16/11/2017;11;4;22
6;19;16/11/2017;11;4;23
5;29;17/11/2017;11;5;0
6;29;17/11/2017;11;5;1
3;3;17/11/2017;11;5;2
3;5;17/11/2017;11;5;3
3;3;17/11/2017;11;5;4
7;17;17/11/2017;11;5;5
7;31;17/11/2017;11;5;6
8;64;17/11/2017;11;5;7
8;27;17/11/2017;11;5;8
8;67;17/11/2017;11;5;9
5;19;17/11/2017;11;5;10
5;20;17/11/2017;11;5;11
6;26;17/11/2017;11;5;12
5;12;17/11/2017;11;5;13
7;26;17/11/2017;11;5;14
8;55;17/11/2017;11;5;15
9;38;17/11/2017;11;5;16
6;17;17/11/2017;11;5;17
6;19;17/11/2017;11;5;18
4;15;17/11/2017;11;5;19
5;12;17/11/2017;11;5;20
1;1;17/11/2017;11;5;21
2;2;18/11/2017;11;6;9
1;1;19/11/2017;11;7;22
2;5;19/11/2017;11;7;23
1;11;20/11/2017;11;1;0
1;4;20/11/2017;11;1;3
2;8;20/11/2017;11;1;4
3;4;20/11/2017;11;1;5
7;17;20/11/2017;11;1;6
7;29;20/11/2017;11;1;7
9;32;20/11/2017;11;1;8
8;70;20/11/2017;11;1;9
7;43;20/11/2017;11;1;10
7;62;20/11/2017;11;1;11
8;63;20/11/2017;11;1;12
8;85;20/11/2017;11;1;13
8;43;20/11/2017;11;1;14
7;37;20/11/2017;11;1;15
8;41;20/11/2017;11;1;16
8;54;20/11/2017;11;1;17
7;37;20/11/2017;11;1;18
4;4;20/11/2017;11;1;19
8;65;20/11/2017;11;1;20
7;44;20/11/2017;11;1;21
7;22;20/11/2017;11;1;22
8;35;20/11/2017;11;1;23
7;23;21/11/2017;11;2;0
1;1;21/11/2017;11;2;1
3;3;21/11/2017;11;2;2
5;14;21/11/2017;11;2;3
5;17;21/11/2017;11;2;4
6;38;21/11/2017;11;2;5
8;36;21/11/2017;11;2;6
8;78;21/11/2017;11;2;7
8;44;21/11/2017;11;2;8
7;28;21/11/2017;11;2;9
8;27;21/11/2017;11;2;10
7;39;21/11/2017;11;2;11
8;22;21/11/2017;11;2;12
7;53;21/11/2017;11;2;13
8;45;21/11/2017;11;2;14
8;45;21/11/2017;11;2;15
8;46;21/11/2017;11;2;16
6;22;21/11/2017;11;2;17
5;15;21/11/2017;11;2;18
8;16;21/11/2017;11;2;19
6;26;21/11/2017;11;2;20
7;35;21/11/2017;11;2;21
3;5;21/11/2017;11;2;22
1;1;21/11/2017;11;2;23
5;8;22/11/2017;11;3;1
3;8;22/11/2017;11;3;2
8;19;22/11/2017;11;3;3
9;49;22/11/2017;11;3;4
9;39;22/11/2017;11;3;5
8;21;22/11/2017;11;3;6
9;57;22/11/2017;11;3;7
7;66;22/11/2017;11;3;8
8;63;22/11/2017;11;3;9
8;35;22/11/2017;11;3;10
9;58;22/11/2017;11;3;11
9;42;22/11/2017;11;3;12
8;24;22/11/2017;11;3;13
6;14;22/11/2017;11;3;14
7;29;22/11/2017;11;3;15
8;31;22/11/2017;11;3;16
7;25;22/11/2017;11;3;17
6;14;22/11/2017;11;3;18
